== maths-only midtrain on mps | base model_full.pt | vocab 71260 (native, no resize) ==
  rows: train 96076 | val (replay-only) 717
  pre-midtrain TinyStories val NLL: 1.6079
  step    100 (0.06M tok)  loss 3.6570  (43s)
  step    200 (0.13M tok)  loss 1.7569  (77s)
  step    300 (0.19M tok)  loss 1.4284  (112s)
  step    400 (0.25M tok)  loss 1.3022  (146s)
  step    500 (0.30M tok)  loss 1.2160  (178s)
  step    600 (0.35M tok)  loss 1.2264  (210s)
  step    700 (0.40M tok)  loss 1.1856  (241s)
  step    800 (0.45M tok)  loss 1.2067  (272s)
  step    900 (0.49M tok)  loss 1.1320  (304s)
  step   1000 (0.54M tok)  loss 1.2087  (347s)
  step   1100 (0.59M tok)  loss 1.1403  (422s)
  step   1200 (0.65M tok)  loss 1.1742  (482s)
  step   1300 (0.71M tok)  loss 1.1151  (525s)
  step   1400 (0.77M tok)  loss 1.1608  (569s)
  step   1500 (0.83M tok)  loss 1.0965  (606s)
  step   1600 (0.89M tok)  loss 1.1100  (644s)
  step   1700 (0.94M tok)  loss 1.0780  (682s)
  step   1800 (1.00M tok)  loss 1.1316  (724s)
  step   1900 (1.06M tok)  loss 1.1128  (765s)
  step   2000 (1.11M tok)  loss 1.1087  (800s)
  [replay check] step 2000: val NLL 1.6769
  step   2100 (1.17M tok)  loss 1.0895  (849s)
  step   2200 (1.23M tok)  loss 1.0649  (887s)
  step   2300 (1.27M tok)  loss 1.0911  (918s)
  step   2400 (1.33M tok)  loss 1.0583  (954s)
  step   2500 (1.38M tok)  loss 1.0670  (990s)
  step   2600 (1.44M tok)  loss 1.0888  (1028s)
  step   2700 (1.49M tok)  loss 1.0551  (1062s)
  step   2800 (1.55M tok)  loss 1.0402  (1102s)
  step   2900 (1.61M tok)  loss 1.0490  (1142s)
  step   3000 (1.66M tok)  loss 1.0644  (1178s)
  step   3100 (1.70M tok)  loss 1.0835  (1209s)
  step   3200 (1.74M tok)  loss 0.9806  (1244s)
  step   3300 (1.80M tok)  loss 0.9812  (1280s)
  step   3400 (1.87M tok)  loss 1.0847  (1318s)
  step   3500 (1.91M tok)  loss 1.0096  (1351s)
  step   3600 (1.94M tok)  loss 1.0593  (1381s)
  step   3700 (1.99M tok)  loss 1.0904  (1423s)
  step   3800 (2.05M tok)  loss 0.9678  (1459s)
  step   3900 (2.09M tok)  loss 1.0020  (1491s)
  step   4000 (2.14M tok)  loss 0.9616  (1529s)
  [replay check] step 4000: val NLL 1.6923
  step   4100 (2.19M tok)  loss 1.0024  (1574s)
  step   4200 (2.25M tok)  loss 1.0161  (1614s)
  step   4300 (2.30M tok)  loss 0.9910  (1650s)
  step   4400 (2.37M tok)  loss 1.0301  (1689s)
  step   4500 (2.41M tok)  loss 1.0178  (1721s)
  step   4600 (2.48M tok)  loss 1.0845  (1763s)
  step   4700 (2.53M tok)  loss 0.9933  (1796s)
